#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
984,Twilio,San Francisco Bay Area,USA,North America,1500,2023-02-13,17.0,8824,7324,Other,Post-IPO,$614,2023,37.77493,-122.41942
985,Electric,New York City,USA,North America,141,2023-02-13,25.0,564,423,Other,Series D,$212,2023,40.71427,-74.00597
988,iRobot,Boston,USA,North America,85,2023-02-13,7.0,1214,1129,Consumer,Acquired,$30,2023,42.35843,-71.05977
996,TripleLift,New York City,USA,North America,100,2023-02-10,20.0,500,400,Marketing,Acquired,$16,2023,40.71427,-74.00597
1003,Yahoo,San Francisco Bay Area,USA,North America,1600,2023-02-09,20.0,8000,6400,Consumer,Acquired,$6,2023,37.36883,-122.03635
1004,MiSan Franciscoits Market,Philadelphia,USA,North America,649,2023-02-09,33.0,1967,1318,Food,Series C,$526,2023,39.95238,-75.16362
1006,Olive AI,Columbus,USA,North America,215,2023-02-09,35.0,614,399,Healthcare,Series H,$856,2023,39.96118,-82.99879
1007,Oportun,San Francisco Bay Area,USA,North America,155,2023-02-09,10.0,1550,1395,Finance,Post-IPO,$566,2023,37.50716,-122.26052
1008,GitLab,San Francisco Bay Area,USA,North America,130,2023-02-09,7.0,1857,1727,Product,Post-IPO,$413,2023,37.77493,-122.41942
1015,GoDaddy,Phoenix,USA,North America,530,2023-02-08,8.0,6625,6095,Marketing,Post-IPO,$800,2023,33.44838,-112.07404
1016,Affirm,San Francisco Bay Area,USA,North America,500,2023-02-08,19.0,2632,2132,Finance,Post-IPO,$1500,2023,37.77493,-122.41942
1017,Gusto,San Francisco Bay Area,USA,North America,126,2023-02-08,5.0,2520,2394,HR,Series E,$746,2023,37.77493,-122.41942
1018,Gong,San Francisco Bay Area,USA,North America,80,2023-02-08,7.0,1143,1063,Sales,Series E,$583,2023,37.77493,-122.41942
1019,Beam Benefits,Columbus,USA,North America,31,2023-02-08,8.0,388,357,Healthcare,Series E,$168,2023,39.96118,-82.99879
1020,Equitybee,San Francisco Bay Area,USA,North America,24,2023-02-08,25.0,96,72,Finance,Series B,$85,2023,37.44188,-122.14302
1025,Zoom,San Francisco Bay Area,USA,North America,1300,2023-02-07,15.0,8667,7367,Other,Post-IPO,$276,2023,37.33939,-121.89496
1026,eBay,San Francisco Bay Area,USA,North America,500,2023-02-07,4.0,12500,12000,Retail,Post-IPO,$1200,2023,37.33939,-121.89496
1027,SecureWorks,Atlanta,USA,North America,212,2023-02-07,9.0,2356,2144,Security,Post-IPO,$83,2023,33.749,-84.38798
1028,Salesloft,Atlanta,USA,North America,100,2023-02-07,10.0,1000,900,Sales,Acquired,$245,2023,33.749,-84.38798
1044,Eightfold AI,San Francisco Bay Area,USA,North America,90,2023-02-03,15.0,600,510,HR,Series E,$396,2023,37.35411,-121.95524
1046,Protocol Labs,San Francisco Bay Area,USA,North America,89,2023-02-03,20.0,445,356,Crypto,Unknown,$10,2023,37.77493,-122.41942
1050,Okta,San Francisco Bay Area,USA,North America,300,2023-02-02,5.0,6000,5700,Security,Post-IPO,$1200,2023,37.77493,-122.41942
1054,Miro,San Francisco Bay Area,USA,North America,119,2023-02-02,7.0,1700,1581,Other,Series C,$476,2023,37.77493,-122.41942
1056,Highspot,Seattle,USA,North America,100,2023-02-02,10.0,1000,900,Sales,Series F,$644,2023,47.60621,-122.33207
1065,Splunk,San Francisco Bay Area,USA,North America,325,2023-02-01,4.0,8125,7800,Data,Post-IPO,$2400,2023,37.77493,-122.41942
1067,DraftKings,Boston,USA,North America,140,2023-02-01,4.0,3500,3360,Consumer,Post-IPO,$719,2023,42.35843,-71.05977
1069,Workato,San Francisco Bay Area,USA,North America,90,2023-02-01,10.0,900,810,Other,Series E,$415,2023,37.38605,-122.08385
1071,Wheel,Austin,USA,North America,56,2023-02-01,28.0,200,144,Healthcare,Series C,$215,2023,30.26715,-97.74306
1072,Chainalysis,New York City,USA,North America,44,2023-02-01,5.0,880,836,Crypto,Series F,$536,2023,40.71427,-74.00597
1074,Exterro,Portland,USA,North America,24,2023-02-01,3.0,800,776,Legal,Private Equity …,$100,2023,45.52345,-122.67621
1075,TheSkimm,New York City,USA,North America,17,2023-02-01,10.0,170,153,Media,Series C,$28,2023,40.71427,-74.00597
1084,PayPal,San Francisco Bay Area,USA,North America,2000,2023-01-31,7.0,28571,26571,Finance,Post-IPO,$216,2023,37.33939,-121.89496
1086,Workday,San Francisco Bay Area,USA,North America,525,2023-01-31,3.0,17500,16975,HR,Post-IPO,$230,2023,37.66243,-121.87468
1087,HubSpot,Boston,USA,North America,500,2023-01-31,7.0,7143,6643,Marketing,Post-IPO,$100,2023,42.35843,-71.05977
1088,Upstart,San Francisco Bay Area,USA,North America,365,2023-01-31,20.0,1825,1460,Finance,Post-IPO,$144,2023,37.56299,-122.32553
1090,Wish,San Francisco Bay Area,USA,North America,150,2023-01-31,17.0,882,732,Retail,Post-IPO,$1600,2023,37.77493,-122.41942
1092,Tilting Point,New York City,USA,North America,60,2023-01-31,14.0,429,369,Consumer,Unknown,$235,2023,40.71427,-74.00597
1105,Impossible Foods,San Francisco Bay Area,USA,North America,140,2023-01-30,20.0,700,560,Food,Series H,$1900,2023,37.48522,-122.23635
1129,Confluent,San Francisco Bay Area,USA,North America,221,2023-01-26,8.0,2763,2542,Data,Post-IPO,$455,2023,37.38605,-122.08385
1140,Guardant Health,San Francisco Bay Area,USA,North America,130,2023-01-25,7.0,1857,1727,Healthcare,Post-IPO,$550,2023,37.44188,-122.14302
1141,SirionLabs,Seattle,USA,North America,130,2023-01-25,15.0,867,737,Legal,Series D,$171,2023,47.60621,-122.33207
1148,Vacasa,Portland,USA,North America,1300,2023-01-24,17.0,7647,6347,Travel,Post-IPO,$834,2023,45.52345,-122.67621
1149,Innovaccer,San Francisco Bay Area,USA,North America,245,2023-01-24,15.0,1633,1388,Healthcare,Series E,$379,2023,37.77493,-122.41942
1150,Bolt,San Francisco Bay Area,USA,North America,50,2023-01-24,10.0,500,450,Finance,Series E,$1300,2023,37.77493,-122.41942
1161,Uber Freight,San Francisco Bay Area,USA,North America,150,2023-01-23,3.0,5000,4850,Logistics,Subsidi…,$2700,2023,37.77493,-122.36608
1163,Innovid,New York City,USA,North America,40,2023-01-23,10.0,400,360,Marketing,Post-IPO,$295,2023,40.71427,-74.00597
1165,Ermetic,San Francisco Bay Area,USA,North America,30,2023-01-23,17.0,176,146,Security,Series B,$97,2023,37.44188,-122.14302
1171,Google,San Francisco Bay Area,USA,North America,12000,2023-01-20,6.0,200000,188000,Consumer,Post-IPO,$26,2023,37.38605,-122.08385
1172,Wayfair,Boston,USA,North America,1750,2023-01-20,10.0,17500,15750,Retail,Post-IPO,$1700,2023,42.35843,-71.05977
1175,Vox Media,Washington DC,USA,North America,130,2023-01-20,7.0,1857,1727,Media,Series F,$307,2023,38.89511,-77.03637
1180,Citrine Informatics,San Francisco Bay Area,USA,North America,22,2023-01-20,27.0,81,59,Data,Series C,$64,2023,37.48522,-122.23635
1189,Hubilo,San Francisco Bay Area,USA,North America,115,2023-01-19,35.0,329,214,Other,Series B,$153,2023,37.77493,-122.41942
1190,Saks.com,New York City,USA,North America,100,2023-01-19,5.0,2000,1900,Retail,Unknown,$965,2023,40.71427,-74.00597
1191,CS Disco,Austin,USA,North America,62,2023-01-19,9.0,689,627,Legal,Post-IPO,$233,2023,30.26715,-97.74306
1204,Microsoft,Seattle,USA,North America,10000,2023-01-18,5.0,200000,190000,Other,Post-IPO,$1,2023,47.60621,-122.33207
1206,Teladoc Health,New York City,USA,North America,300,2023-01-18,6.0,5000,4700,Healthcare,Post-IPO,$172,2023,40.71427,-74.00597
1207,Vroom,New York City,USA,North America,275,2023-01-18,20.0,1375,1100,Transportation,Post-IPO,1300,2023,40.71427,-74.00597
1208,8x8,San Francisco Bay Area,USA,North America,155,2023-01-18,7.0,2214,2059,Support,Post-IPO,$253,2023,37.28717,-121.9499
1209,Pagaya,New York City,USA,North America,140,2023-01-18,20.0,700,560,Finance,Post-IPO,$571,2023,40.71427,-74.00597
1211,Inspirato,Denver,USA,North America,109,2023-01-18,12.0,908,799,Travel,Post-IPO,$179,2023,39.73915,-104.9847
1212,Jumpcloud,Boulder,USA,North America,100,2023-01-18,12.0,833,733,Security,Series F,$416,2023,40.01499,-105.27055
1213,nCino,Wilmington,USA,North America,100,2023-01-18,7.0,1429,1329,Finance,Post-IPO,1100,2023,34.23556,-77.94604
1214,Starry,Boston,USA,North America,100,2023-01-18,24.0,417,317,Other,Post-IPO,$260,2023,42.35843,-71.05977
